date,avg_sentiment,review_count
2009-05-21,0.75,4
2009-05-22,1.0,6
2009-05-23,0.8,10
2009-05-24,0.6153846153846154,13
2009-05-25,0.6923076923076923,13
2009-05-26,0.7,20
2009-05-27,0.85,20
2009-05-28,0.75,4
2009-05-29,0.2857142857142857,7
2009-05-30,0.25,4
2009-05-31,0.8571428571428571,7
2009-06-01,0.5714285714285714,7
2009-06-02,0.6,5
2009-06-03,0.375,8
2009-06-04,0.8,15
2009-06-05,0.5,6
2009-06-06,0.7,10
2009-06-07,0.6666666666666666,12
2009-06-08,0.8,15
2009-06-09,0.5384615384615384,13
2009-06-10,0.7777777777777778,9
